car_id,make,model,year,mileage,fuel_type,transmission,engine_power,body_type,price
900504741,Hyundai,Santa Fe,2008,227435,Diesel,M,114,SUV,120000
900502963,Škoda,Octavia,2011,257374,Diesel,M,77,C,115000
900507632,Škoda,Octavia,2009,257861,Benzín,M,90,H,96000
900497776,Ford,Mondeo,2008,213345,Diesel,M,103,C,105000
900494328,Citroen,C-Elysee,2014,109640,Diesel,M,68,S,90000
900499462,Škoda,Octavia,2006,128962,Diesel,M,74,H,100000
900508351,Škoda,Octavia,2010,244508,Diesel,M,77,C,100000
900492675,Kia,Sportage,2023,11721,Benzín,M,110,SUV,610000
900499472,Peugeot,508,2019,59158,Benzín,A,165,S,530000
900476380,Škoda,Kamiq,2022,12668,Benzín,M,81,SUV,480000
900477621,Mitsubishi,L200,2016,142433,Diesel,A,133,OFF,470000
900504695,Škoda,Scala,2024,15105,Benzín,M,81,H,450000
900506445,Škoda,Octavia,2021,60138,Diesel,M,85,C,440000
900499910,Hyundai,i30,2022,72158,Benzín,M,81,C,370000
900500716,Škoda,Yeti,2014,85699,Benzín,A,90,SUV,320000
900497883,Peugeot,Rifter,2019,193664,Diesel,M,75,P,290000
900501020,Opel,Astra,2016,85926,Benzín,M,110,C,240000
900485958,Škoda,Octavia,2018,142540,Diesel,M,85,H,250000
900504079,Dacia,Duster,2017,120712,Diesel,A,80,SUV,260000
900495183,Opel,Astra,2019,126140,Diesel,M,81,C,210000
900504970,Volkswagen,Passat,2011,184160,Diesel,M,103,C,200000
900503518,Volkswagen,Golf,2014,219057,Diesel,M,110,H,185000
900487824,Hyundai,i30,2017,133085,Benzín,M,88,C,190000
900501580,Škoda,Octavia,2014,199740,Benzín,M,77,H,160000
900495831,Opel,Insignia,2014,202212,Diesel,M,120,S,150000
900501919,Volkswagen,Passat,2012,213055,Benzín,M,90,C,150000
900475234,Škoda,Yeti,2011,168561,Benzín,M,77,SUV,150000
900507980,Škoda,Octavia,2010,155982,Benzín,A,118,C,150000
900507058,Škoda,Rapid,2013,192922,Benzín,M,77,H,150000
900484401,Peugeot,308,2016,168314,Diesel,M,88,H,140000
900502596,Ford,Focus,2013,153525,Diesel,M,77,C,140000
900501373,Ford,Mondeo,2011,208915,Diesel,A,147,C,140000
900503994,Hyundai,i30,2014,184860,Benzín,M,88,H,140000
900498764,Volkswagen,Touran,2007,194155,Benzín,M,103,MPV,130000
900508521,Hyundai,i30,2015,217785,Diesel,M,81,C,140000
900502878,Ford,S-Max,2008,190015,Benzín,A,118,MPV,120000
900494436,Kia,Ceed,2014,207935,Diesel,M,94,H,120000
900485736,Hyundai,i30,2013,89859,Diesel,M,66,C,130000
900502938,Škoda,Octavia,2011,296166,Diesel,M,77,C,110000
900490490,Škoda,Octavia,2012,221499,Diesel,M,77,C,110000
900506538,Jeep,Wrangler,2020,54634,Benzín,A,200,OFF,1000000
900506507,Škoda,Kamiq,2022,30180,Benzín,M,81,SUV,440000
900475837,Peugeot,3008,2019,151891,Diesel,M,96,SUV,330000
900497932,Kia,Ceed,2017,116859,Diesel,A,100,C,290000
900490665,Volkswagen,Golf Sportsvan,2016,109559,Benzín,M,81,MPV,265000
900493184,Volkswagen,Golf,2020,235283,Diesel,M,110,C,260000
900466729,Volkswagen,Transporter,2018,216843,Diesel,M,62,V,240000
900483324,Hyundai,i30,2018,78340,Benzín,M,88,C,250000
900474500,Nissan,X-Trail,2015,162998,Benzín,M,120,SUV,240000
900497504,Ford,Kuga,2015,183470,Diesel,M,88,SUV,240000
900501779,Volkswagen,Passat,2012,245710,Diesel,A,103,C,200000
900498510,Kia,Ceed,2017,96256,Diesel,M,100,C,210000
900499709,Volkswagen,Passat,2012,210358,CNG,A,110,C,180000
900507371,Škoda,Rapid Spaceback,2018,136440,Benzín,M,70,H,175000
900498913,Opel,Astra,2016,206752,Diesel,M,81,C,160000
900491950,Ford,Focus,2017,205130,Diesel,M,88,C,160000
900501362,Peugeot,5008,2010,149680,Diesel,M,80,MPV,130000
900499112,Škoda,Octavia,2009,181882,Diesel,M,77,C,130000
900490891,Volkswagen,Touran,2011,285419,Diesel,M,77,MPV,115000
900496522,Citroen,C4,2007,151844,Benzín,M,65,H,60000
900427233,Škoda,Superb,2023,28320,Diesel,A,147,C,900000
900506342,Hyundai,Santa Fe,2019,99882,Diesel,A,147,SUV,660000
300149112,BMW,2 Gran Coupe,2020,74193,Benzín,A,100,CPE,576000
900495233,Nissan,Qashqai,2021,33901,Benzín,M,103,SUV,420000
900488666,Ford,Focus,2020,48994,Benzín,M,114,C,425000
900489935,Peugeot,3008,2020,107614,Diesel,A,96,SUV,400000
900508514,Suzuki,Vitara,2016,111567,Benzín,A,103,SUV,390000
900496138,Peugeot,2008,2021,99090,Diesel,M,81,SUV,380000
900480304,Volkswagen,e-Golf,2018,43224,Battery EV (BEV)Čistě bateriový vůz s tichým provozem a nulovými lokálními emisemi.Elektro (BEV),A,100,H,370000
900505339,Hyundai,i30,2022,39267,Benzín,M,88,C,380000
500036448,Suzuki,SX4 S-Cross,2018,52837,Benzín,M,103,SUV,360000
900499213,Toyota,Corolla,2020,85180,Benzín,M,97,S,350000
900497114,Kia,Ceed,2021,139293,Diesel,A,100,C,330000
900501400,Volkswagen,Golf Sportsvan,2015,89473,Benzín,M,92,MPV,300000
900494847,Opel,Astra,2019,78750,Diesel,M,81,C,260000
900502075,Volkswagen,Passat,2015,200294,Diesel,M,110,C,240000
900501294,Škoda,Rapid,2018,144315,Benzín,M,70,H,210000
900508022,Hyundai,i30,2020,218508,Diesel,M,85,C,200000
900500409,Škoda,Octavia,2016,218587,Diesel,M,81,H,180000
900495756,Škoda,Octavia,2017,194743,Diesel,M,66,H,170000
900478179,Mazda,3,2014,192801,Benzín,M,88,H,170000
900506185,Hyundai,i30,2015,136000,Diesel,M,81,C,180000
900493804,Mercedes-Benz,C,2006,132751,Benzín,A,170,S,150000
900489100,Hyundai,i30,2016,190471,Diesel,M,81,C,155000
900500861,Hyundai,Elantra,2012,103398,Benzín,M,97,S,150000
900505436,Kia,Sorento,2010,266657,Diesel,M,145,SUV,130000
900500071,Hyundai,ix35,2013,286939,Diesel,M,85,SUV,130000
900505632,Citroen,C4,2013,194122,Diesel,M,82,H,95000
700166019,Hyundai,Ioniq,2021,63073,Battery EV (BEV)Čistě bateriový vůz s tichým provozem a nulovými lokálními emisemi.Elektro (BEV),A,100,H,428000
900495254,Škoda,Karoq,2020,48095,Benzín,M,85,SUV,460000
900502434,Kia,Ceed,2023,83821,Benzín,A,117,C,460000
900495400,Hyundai,i30,2022,34957,Benzín,A,88,C,425000
900501255,Hyundai,i30,2021,51879,Benzín,A,88,C,370000
900498999,Opel,Crossland,2022,33537,Benzín,M,81,SUV,360000
900501456,Renault,Grand Scenic,2019,128500,Benzín,M,103,MPV,340000
900505389,Hyundai,i30,2022,55931,Benzín,M,81,C,350000
900499599,Hyundai,i30,2021,64723,Benzín,M,81,H,290000
900489340,Audi,Q5,2017,265131,Diesel,A,140,SUV,290000
900505651,Nissan,Qashqai,2017,175012,Benzín,M,120,SUV,290000
900499772,Dacia,Duster,2022,223382,LPG,M,67,SUV,245000
900484132,Volkswagen,Passat,2015,301290,Diesel,M,110,C,230000
900504269,Škoda,Octavia,2018,159276,Benzín,M,85,H,230000
900489823,Dacia,Duster,2014,34020,Benzín,M,77,SUV,210000
300145355,Peugeot,308,2014,152920,Benzín,M,96,C,183000
900505295,Škoda,Rapid,2019,94177,Benzín,M,81,H,220000
900505204,Škoda,Octavia,2016,195115,Diesel,M,81,C,200000
900508427,Škoda,Octavia,2017,143429,Benzín,M,63,H,210000
900490397,Toyota,RAV4,2011,191090,Diesel,M,110,SUV,180000
900501005,Volkswagen,Golf,2014,225261,Diesel,M,77,C,180000
900508388,Hyundai,Santa Fe,2011,198906,Diesel,A,145,SUV,190000
900508315,Ford,S-Max,2011,197125,Diesel,M,85,MPV,170000
900500396,Hyundai,i30,2016,168422,Diesel,M,81,C,170000
900502236,Škoda,Octavia,2010,134023,Benzín,M,90,H,150000
900501399,Škoda,Rapid Spaceback,2016,245758,Diesel,M,85,H,140000
900503110,Opel,Meriva,2012,177356,Benzín,M,74,MPV,105000
900503782,Škoda,Octavia,2010,247671,Diesel,M,74,H,90000
900498612,Škoda,Octavia,2011,332415,Diesel,M,77,C,85000
900488923,Kia,ProCeed,2021,62133,Benzín,A,150,H,560000
900472107,Volkswagen,Touran,2019,89554,Benzín,A,110,MPV,470000
900499953,Škoda,Scala,2022,53636,Benzín,A,81,H,450000
900495976,Volkswagen,Touran,2021,147358,Diesel,M,90,MPV,430000
900500369,BMW,1,2016,134864,Diesel,A,110,H,380000
900483664,DS,3 Crossback,2019,51817,Benzín,A,96,SUV,380000
900495755,Škoda,Scala,2019,78062,Benzín,A,85,H,370000
900486369,Peugeot,Rifter,2020,147587,Diesel,A,96,P,350000
900497115,Kia,Ceed,2021,142260,Diesel,A,100,C,330000
900496801,Ford,Focus,2018,79446,Benzín,M,92,H,330000
900497880,Ford,Focus,2020,169263,Diesel,M,110,C,340000
900505790,Opel,Grandland,2018,163111,Diesel,A,88,SUV,330000
900502255,Toyota,Auris,2014,100881,"Full-Hybrid (FHEV)Schopný čistě elektrické jízdy. Na elektřinu parkuje a popojíždí, případně ujede jednotky kilometrů a pomáhá při akceleraci. Šetří brzdy rekuperací, nemá možnost dobíjení u nabíječky elektromobilů.Benzín + Full-Hybrid",A,100,C,300000
900481287,Škoda,Octavia,2019,98780,Diesel,M,85,H,290000
900496832,Škoda,Octavia,2017,139361,Diesel,M,85,H,290000
900500946,Škoda,Octavia,2015,58075,Benzín,M,110,H,280000
900502270,Kia,Ceed,2015,84420,Benzín,M,150,H,270000
900499188,Dacia,Duster,2018,113193,Diesel,M,80,SUV,250000
900505604,BMW,3,2017,240163,Diesel,A,110,C,250000
900474043,Hyundai,i30,2018,73736,Benzín,M,88,C,240000
900474039,Hyundai,i30,2018,69440,Benzín,M,88,C,240000
900496849,Škoda,Octavia,2017,250169,Diesel,M,110,C,220000
900501352,Hyundai,i30,2016,94352,Benzín,M,88,C,220000
900500063,Škoda,Superb,2010,107385,Benzín,M,118,C,210000
900482293,Opel,Astra,2016,171221,Diesel,A,100,C,185000
900490921,Peugeot,308,2018,152748,Diesel,M,73,C,185000
900492137,Renault,Megane,2016,78808,Benzín,M,74,H,180000
